学员 ID,学员姓名,课程类别,课程名称,报名节数/期数,单价（元/节/期）,缴费总额（元）,缴费日期,学员所在城市,缴费方式,课程状态
STU10067,韩楠,成人游泳,成人蛙泳入门班,35,231,8085,2025-09-07,上海,现金,已报名
STU10068,胡芳,亲子游泳,亲子互动班,13,146,1898,2025-10-25,武汉,银行卡,已开课
STU10069,邹柳,亲子游泳,亲子技能提升班,36,144,5184,2025-12-30,北京,分期,已报名
STU10070,杨刚,私教课程,一对二私教课,14,246,3444,2025-11-03,深圳,微信支付,已结课
STU10071,王英,成人游泳,成人自由泳速成班,40,109,4360,2025-10-26,武汉,银行卡,已结课
STU10072,徐志强,成人游泳,成人蛙泳入门班,20,159,3180,2025-09-07,杭州,分期,已结课
STU10073,权桂芝,亲子游泳,亲子水上游戏课,22,99,2178,2026-02-08,深圳,微信支付,已结课
STU10074,胡娜,私教课程,一对一私教课,46,90,4140,2025-12-19,南京,微信支付,已结课
STU10075,张敏,私教课程,一对一私教课,36,205,7380,2025-12-02,武汉,支付宝,已结课
STU10076,潘岩,集训课程,国庆集训班,3,3155,9465,2026-01-02,武汉,现金,已结课
STU10077,李秀英,考级课程,二级考级专项班,30,142,4260,2025-09-23,杭州,现金,已开课
STU10078,隆洁,亲子游泳,亲子水上游戏课,31,87,2697,2025-11-23,广州,现金,已开课
STU10079,翟淑兰,私教课程,一对三私教课,27,232,6264,2025-11-10,西安,微信支付,已结课
STU10080,姜秀云,成人游泳,成人蛙泳入门班,25,184,4600,2025-11-01,武汉,现金,已结课
STU10081,权坤,少儿游泳,少儿蛙泳基础班,28,136,3808,2025-11-02,杭州,分期,已开课
STU10082,杨燕,考级课程,二级考级专项班,37,220,8140,2026-02-27,武汉,银行卡,已开课
STU10083,张林,成人游泳,成人蛙泳入门班,22,160,3520,2026-01-16,广州,支付宝,已开课
STU10084,马凤兰,亲子游泳,亲子技能提升班,47,214,10058,2025-09-26,深圳,银行卡,已开课
STU10085,陈小红,成人游泳,成人水中健身课,10,216,2160,2025-09-12,北京,分期,已开课
STU10086,邹丹丹,成人游泳,成人减脂游泳班,16,83,1328,2025-12-30,武汉,现金,已开课
STU10087,张伟,少儿游泳,少儿仰泳专项班,40,109,4360,2025-12-12,武汉,微信支付,已结课
STU10088,杨敏,集训课程,暑期集训营,1,1805,1805,2025-11-17,上海,支付宝,已报名
STU10089,刘桂兰,亲子游泳,亲子互动班,43,177,7611,2025-12-23,杭州,分期,已退费
STU10090,章霞,私教课程,一对一私教课,49,105,5145,2025-10-24,深圳,银行卡,已结课
STU10091,李斌,成人游泳,成人自由泳速成班,21,221,4641,2025-12-14,武汉,分期,已结课
STU10092,韦俊,少儿游泳,少儿自由泳提高班,28,152,4256,2025-12-26,上海,支付宝,已退费
STU10093,胡岩,集训课程,寒假集训营,2,1735,3470,2026-02-13,广州,银行卡,已结课
STU10094,孙静,少儿游泳,少儿蛙泳基础班,20,158,3160,2026-01-24,杭州,现金,已报名
STU10095,朱丹,集训课程,国庆集训班,3,2324,6972,2026-01-07,西安,现金,已结课
STU10096,许浩,考级课程,等级考试预备班,37,162,5994,2025-09-07,上海,支付宝,已退费
STU10097,袁小红,考级课程,等级考试预备班,27,227,6129,2025-10-15,武汉,分期,已结课
STU10098,朱红霞,私教课程,一对二私教课,47,191,8977,2026-01-04,上海,现金,已开课
STU10099,黄杰,私教课程,一对三私教课,16,121,1936,2026-02-25,武汉,银行卡,已结课
STU10100,邢秀兰,亲子游泳,亲子启蒙班,39,102,3978,2025-11-22,上海,现金,已结课
STU10101,吴阳,少儿游泳,少儿蝶泳精英班,36,93,3348,2025-12-02,重庆,现金,已结课
STU10102,刘楠,少儿游泳,少儿自由泳提高班,27,220,5940,2025-11-13,武汉,现金,已报名
STU10103,罗涛,集训课程,寒假集训营,3,1824,5472,2025-09-04,西安,现金,已报名
STU10104,徐丽,少儿游泳,少儿蝶泳精英班,17,245,4165,2026-01-06,杭州,分期,已结课
STU10105,伍金凤,亲子游泳,亲子水上游戏课,40,142,5680,2025-10-08,成都,支付宝,已退费
STU10106,唐琴,考级课程,一级考级冲刺班,14,150,2100,2025-12-16,南京,分期,已开课
STU10107,王燕,少儿游泳,少儿仰泳专项班,29,230,6670,2026-02-16,武汉,支付宝,已结课
STU10108,朱浩,亲子游泳,亲子技能提升班,31,221,6851,2025-12-06,武汉,银行卡,已结课
STU10109,朱勇,集训课程,寒假集训营,3,2284,6852,2025-12-15,北京,银行卡,已结课
STU10110,韦玉英,集训课程,考前集中训练营,2,2859,5718,2026-02-14,广州,现金,已退费
STU10111,薛玉英,成人游泳,成人水中健身课,16,192,3072,2025-09-04,广州,现金,已结课
STU10112,杨霞,成人游泳,成人蛙泳入门班,40,147,5880,2026-02-25,成都,微信支付,已结课
STU10113,魏秀云,集训课程,考前集中训练营,2,2783,5566,2026-01-03,西安,微信支付,已结课
STU10114,冯瑜,成人游泳,成人水中健身课,24,103,2472,2025-09-26,上海,现金,已开课
STU10115,戚超,私教课程,一对一私教课,12,163,1956,2025-11-15,南京,银行卡,已结课
STU10116,沈华,成人游泳,成人减脂游泳班,46,126,5796,2025-09-21,重庆,现金,已结课
STU10117,徐秀英,成人游泳,成人减脂游泳班,47,116,5452,2026-02-11,杭州,现金,已开课
STU10118,吴慧,少儿游泳,少儿蝶泳精英班,28,219,6132,2025-12-23,南京,分期,已开课
STU10119,梁鹏,亲子游泳,亲子技能提升班,39,157,6123,2025-12-08,武汉,微信支付,已开课
STU10120,刘军,考级课程,二级考级专项班,46,155,7130,2025-11-15,北京,现金,已开课
STU10121,黄桂芝,考级课程,等级考试预备班,48,207,9936,2025-11-13,深圳,分期,已结课
STU10122,朱凯,成人游泳,成人自由泳速成班,49,144,7056,2026-02-16,广州,微信支付,已退费
STU10123,李龙,集训课程,暑期集训营,2,3115,6230,2026-01-27,南京,支付宝,已报名
STU10124,孙娜,私教课程,一对三私教课,36,124,4464,2026-01-17,南京,分期,已结课
STU10125,王伟,私教课程,一对二私教课,26,203,5278,2025-11-15,南京,微信支付,已结课
STU10126,郑云,少儿游泳,少儿自由泳提高班,24,181,4344,2026-01-21,南京,微信支付,已结课
STU10127,刘浩,少儿游泳,少儿仰泳专项班,44,111,4884,2026-02-20,杭州,分期,已开课
STU10128,罗杰,集训课程,国庆集训班,1,2882,2882,2025-09-07,重庆,分期,已开课
STU10129,柳丹丹,考级课程,一级考级冲刺班,14,242,3388,2026-02-27,杭州,现金,已报名
STU10130,高瑜,少儿游泳,少儿蛙泳基础班,29,206,5974,2025-10-31,西安,支付宝,已开课
STU10131,左健,私教课程,私教包月套餐,47,119,5593,2026-02-15,上海,现金,已结课
STU10132,李文,私教课程,一对一私教课,33,135,4455,2025-10-31,南京,微信支付,已退费
STU10133,蒋玉兰,私教课程,一对三私教课,13,181,2353,2025-10-02,武汉,微信支付,已结课
STU10134,司刚,集训课程,暑期集训营,1,3111,3111,2025-10-03,重庆,支付宝,已报名
STU10135,崔红霞,考级课程,一级考级冲刺班,47,135,6345,2025-10-30,南京,支付宝,已结课
STU10136,黄瑞,考级课程,等级考试预备班,27,117,3159,2026-01-17,杭州,支付宝,已报名
STU10137,王桂英,少儿游泳,少儿自由泳提高班,10,171,1710,2025-10-31,重庆,银行卡,已报名
STU10138,郭楠,私教课程,一对一私教课,18,187,3366,2025-09-17,武汉,现金,已结课
STU10139,阎倩,考级课程,等级考试预备班,38,208,7904,2026-02-05,北京,分期,已开课
STU10140,荣浩,集训课程,暑期集训营,1,2480,2480,2025-12-19,上海,现金,已结课
STU10141,金丽娟,亲子游泳,亲子启蒙班,15,162,2430,2025-09-17,广州,银行卡,已结课
STU10142,李彬,考级课程,二级考级专项班,34,232,7888,2025-12-26,西安,分期,已结课
STU10143,王荣,集训课程,暑期集训营,3,2833,8499,2026-01-20,深圳,现金,已结课
STU10144,李玉,成人游泳,成人减脂游泳班,31,196,6076,2025-09-25,南京,现金,已开课
STU10145,蒋桂珍,私教课程,一对三私教课,19,201,3819,2025-09-24,成都,微信支付,已结课
STU10146,高鹏,私教课程,一对二私教课,45,95,4275,2026-01-22,西安,银行卡,已结课
STU10147,张想,亲子游泳,亲子技能提升班,37,93,3441,2026-02-01,杭州,银行卡,已报名
STU10148,龙岩,考级课程,一级考级冲刺班,19,248,4712,2025-09-28,南京,分期,已开课
STU10149,丁婷,私教课程,一对二私教课,37,223,8251,2026-02-07,重庆,分期,已报名
STU10150,叶楠,集训课程,国庆集训班,1,1869,1869,2025-11-19,南京,银行卡,已报名
STU10151,臧飞,成人游泳,成人减脂游泳班,14,116,1624,2025-09-08,上海,分期,已开课
STU10152,刘婷婷,亲子游泳,亲子水上游戏课,31,120,3720,2025-11-23,重庆,分期,已报名
STU10153,姜欢,少儿游泳,少儿自由泳提高班,20,238,4760,2025-11-09,武汉,现金,已结课
STU10154,倪东,亲子游泳,亲子水上游戏课,27,135,3645,2025-09-30,南京,现金,已报名
STU10155,梁冬梅,集训课程,考前集中训练营,3,2866,8598,2025-10-27,成都,分期,已报名
STU10156,史红霞,成人游泳,成人水中健身课,23,115,2645,2025-11-14,南京,微信支付,已报名
STU10157,陈林,集训课程,考前集中训练营,1,1764,1764,2026-02-28,深圳,分期,已结课
STU10158,冉辉,集训课程,国庆集训班,1,2313,2313,2025-09-11,成都,微信支付,已结课
STU10159,许莉,少儿游泳,少儿仰泳专项班,46,189,8694,2026-02-11,成都,银行卡,已报名
STU10160,桑淑兰,少儿游泳,少儿仰泳专项班,20,238,4760,2026-02-24,南京,微信支付,已结课
STU10161,李杨,少儿游泳,少儿自由泳提高班,37,230,8510,2025-09-21,成都,银行卡,已结课
STU10162,刘小红,成人游泳,成人水中健身课,20,99,1980,2025-09-30,西安,分期,已开课
STU10163,王云,私教课程,一对三私教课,19,140,2660,2025-11-05,深圳,支付宝,已结课
STU10164,陈秀兰,集训课程,暑期集训营,1,3448,3448,2026-01-05,武汉,分期,已结课
STU10165,何岩,亲子游泳,亲子技能提升班,50,160,8000,2025-09-18,武汉,现金,已结课
STU10166,骆莉,私教课程,一对一私教课,32,209,6688,2025-12-25,北京,微信支付,已开课
STU10167,张秀荣,私教课程,一对一私教课,15,237,3555,2025-12-08,武汉,分期,已结课
STU10168,李桂香,集训课程,暑期集训营,2,3361,6722,2026-02-14,深圳,银行卡,已结课
STU10169,任彬,考级课程,一级考级冲刺班,13,195,2535,2025-11-27,上海,分期,已结课
STU10170,黄建华,少儿游泳,少儿自由泳提高班,38,192,7296,2026-02-04,广州,银行卡,已开课
STU10171,夏燕,私教课程,私教包月套餐,36,166,5976,2025-09-14,南京,微信支付,已开课
STU10172,胡秀珍,考级课程,三级考级集训班,28,144,4032,2026-02-16,重庆,支付宝,已开课
STU10173,周云,考级课程,一级考级冲刺班,32,159,5088,2026-02-26,成都,支付宝,已结课
STU10174,徐文,少儿游泳,少儿仰泳专项班,45,176,7920,2025-11-24,广州,分期,已报名
STU10175,杨丽,集训课程,考前集中训练营,3,2241,6723,2025-10-17,深圳,银行卡,已退费
STU10176,杨建,亲子游泳,亲子互动班,24,115,2760,2025-11-15,上海,分期,已结课
STU10177,黄婷婷,集训课程,暑期集训营,3,2189,6567,2026-02-06,广州,分期,已开课
STU10178,魏雪梅,成人游泳,成人自由泳速成班,49,122,5978,2025-09-12,成都,银行卡,已结课
STU10179,方鹏,成人游泳,成人减脂游泳班,49,152,7448,2025-12-24,深圳,分期,已开课
STU10180,张丽,亲子游泳,亲子互动班,33,226,7458,2025-12-28,杭州,现金,已结课
STU10181,冯玉英,亲子游泳,亲子互动班,22,234,5148,2025-11-04,北京,现金,已结课
STU10182,曹彬,考级课程,等级考试预备班,43,111,4773,2025-10-12,杭州,现金,已退费
STU10183,赵燕,成人游泳,成人减脂游泳班,15,136,2040,2025-11-29,北京,现金,已报名
STU10184,张博,考级课程,二级考级专项班,25,178,4450,2025-12-05,深圳,微信支付,已开课
STU10185,陈伟,少儿游泳,少儿仰泳专项班,19,115,2185,2026-02-26,广州,现金,已结课
STU10186,李东,少儿游泳,少儿蛙泳基础班,11,145,1595,2025-10-09,西安,分期,已结课
STU10187,黎淑华,少儿游泳,少儿仰泳专项班,25,157,3925,2025-11-01,成都,分期,已结课
STU10188,金涛,少儿游泳,少儿蝶泳精英班,48,217,10416,2026-01-26,深圳,支付宝,已开课
STU10189,徐秀珍,少儿游泳,少儿仰泳专项班,25,226,5650,2026-02-18,上海,分期,已退费
STU10190,李东,少儿游泳,少儿蛙泳基础班,34,200,6800,2025-12-05,杭州,微信支付,已开课
STU10191,齐桂英,少儿游泳,少儿仰泳专项班,25,248,6200,2026-01-27,南京,支付宝,已报名
STU10192,何鹏,考级课程,二级考级专项班,21,198,4158,2026-01-01,广州,支付宝,已报名
STU10193,杨鹏,亲子游泳,亲子启蒙班,28,131,3668,2025-09-11,南京,银行卡,已结课
STU10194,王霞,考级课程,三级考级集训班,26,89,2314,2025-10-19,杭州,银行卡,已结课
STU10195,阎洋,少儿游泳,少儿仰泳专项班,27,111,2997,2025-12-21,成都,现金,已结课
STU10196,陈淑兰,亲子游泳,亲子技能提升班,21,207,4347,2025-12-04,西安,银行卡,已结课
STU10197,曹宇,集训课程,考前集中训练营,1,2381,2381,2025-10-17,西安,银行卡,已开课
STU10198,何秀兰,少儿游泳,少儿仰泳专项班,28,158,4424,2025-12-19,广州,现金,已开课
STU10199,马宇,少儿游泳,少儿仰泳专项班,49,191,9359,2025-09-15,上海,现金,已开课
STU10200,刘兵,集训课程,寒假集训营,1,1792,1792,2026-02-21,武汉,微信支付,已报名
STU10201,毛想,成人游泳,成人水中健身课,33,178,5874,2025-09-09,重庆,支付宝,已结课
STU10202,牛建,私教课程,一对三私教课,38,99,3762,2026-01-14,南京,现金,已开课
STU10203,韩志强,私教课程,一对二私教课,17,86,1462,2026-01-06,西安,现金,已退费
STU10204,吕婷,少儿游泳,少儿仰泳专项班,26,194,5044,2026-02-04,杭州,现金,已开课
STU10205,吴鹏,成人游泳,成人蛙泳入门班,38,124,4712,2025-12-23,上海,银行卡,已结课
STU10206,王晨,集训课程,暑期集训营,3,2610,7830,2025-11-16,广州,支付宝,已结课
STU10207,薛刚,考级课程,一级考级冲刺班,17,131,2227,2025-10-31,武汉,微信支付,已开课
STU10208,邢华,考级课程,二级考级专项班,39,221,8619,2025-09-23,上海,银行卡,已开课
STU10209,黄楠,集训课程,考前集中训练营,3,2341,7023,2026-01-26,上海,支付宝,已退费
STU10210,杨成,集训课程,暑期集训营,2,2454,4908,2025-11-28,广州,分期,已结课
STU10211,张桂芝,成人游泳,成人自由泳速成班,37,208,7696,2025-09-15,上海,分期,已开课
STU10212,杨刚,成人游泳,成人自由泳速成班,30,137,4110,2026-01-11,杭州,微信支付,已开课
STU10213,王强,集训课程,国庆集训班,1,2780,2780,2026-01-15,上海,分期,已结课
STU10214,江琴,考级课程,一级考级冲刺班,20,248,4960,2026-02-02,南京,分期,已报名
STU10215,罗宁,少儿游泳,少儿蛙泳基础班,12,244,2928,2025-11-07,深圳,分期,已结课
STU10216,张平,集训课程,暑期集训营,2,3320,6640,2025-11-14,杭州,现金,已开课
STU10217,翟健,集训课程,考前集中训练营,2,2428,4856,2025-10-11,武汉,现金,已结课
STU10218,唐彬,成人游泳,成人水中健身课,48,116,5568,2025-11-21,南京,现金,已报名
STU10219,朱彬,私教课程,一对一私教课,30,141,4230,2025-11-08,武汉,支付宝,已报名
STU10220,尹辉,少儿游泳,少儿仰泳专项班,34,237,8058,2025-10-11,南京,分期,已结课
STU10221,陆斌,成人游泳,成人自由泳速成班,41,211,8651,2025-11-18,武汉,微信支付,已报名
STU10222,白明,亲子游泳,亲子水上游戏课,25,135,3375,2025-09-13,北京,银行卡,已结课
STU10223,贾莉,集训课程,考前集中训练营,2,2599,5198,2025-12-20,广州,银行卡,已结课
STU10224,卢利,亲子游泳,亲子技能提升班,12,182,2184,2025-10-20,南京,分期,已开课
STU10225,宁俊,亲子游泳,亲子水上游戏课,45,151,6795,2026-02-07,重庆,微信支付,已报名
STU10226,刘梅,少儿游泳,少儿蝶泳精英班,33,166,5478,2025-12-03,广州,支付宝,已结课
STU10227,冯萍,亲子游泳,亲子启蒙班,12,89,1068,2025-11-25,武汉,分期,已结课
STU10228,赵冬梅,考级课程,一级考级冲刺班,30,236,7080,2025-12-10,重庆,银行卡,已结课
STU10229,杨欣,考级课程,三级考级集训班,46,156,7176,2025-09-05,南京,银行卡,已结课
STU10230,林丽华,亲子游泳,亲子技能提升班,50,86,4300,2025-11-07,重庆,分期,已开课
STU10231,李秀荣,少儿游泳,少儿蝶泳精英班,20,214,4280,2026-02-06,成都,支付宝,已结课
STU10232,魏林,成人游泳,成人蛙泳入门班,46,108,4968,2025-12-22,南京,现金,已开课
STU10233,聂秀荣,集训课程,寒假集训营,2,2527,5054,2025-12-30,北京,支付宝,已结课
STU10234,江桂荣,考级课程,二级考级专项班,40,214,8560,2025-10-15,武汉,分期,已开课
STU10235,董波,私教课程,一对三私教课,49,203,9947,2025-11-03,杭州,分期,已开课
STU10236,陈婷婷,私教课程,一对三私教课,23,205,4715,2025-11-29,西安,银行卡,已开课
STU10237,贾春梅,考级课程,三级考级集训班,35,168,5880,2025-10-08,杭州,微信支付,已开课
STU10238,宋婷婷,集训课程,暑期集训营,2,3392,6784,2025-11-05,武汉,支付宝,已开课
STU10239,孟桂芝,考级课程,二级考级专项班,45,149,6705,2026-02-05,重庆,支付宝,已开课
STU10240,卢建,集训课程,寒假集训营,3,1976,5928,2025-11-24,武汉,微信支付,已结课
STU10241,汪峰,成人游泳,成人蛙泳入门班,45,120,5400,2025-12-31,武汉,支付宝,已结课
STU10242,王淑兰,私教课程,一对三私教课,28,245,6860,2025-09-23,重庆,支付宝,已结课
STU10243,冼婷婷,集训课程,暑期集训营,1,2355,2355,2025-10-16,北京,现金,已结课
STU10244,许坤,成人游泳,成人水中健身课,12,82,984,2026-02-02,上海,银行卡,已开课
STU10245,周欣,集训课程,考前集中训练营,1,3242,3242,2025-11-09,深圳,微信支付,已开课
STU10246,朱斌,集训课程,考前集中训练营,3,2026,6078,2025-09-04,南京,银行卡,已结课
STU10247,李春梅,成人游泳,成人自由泳速成班,49,243,11907,2025-12-19,西安,银行卡,已报名
STU10248,周淑珍,集训课程,暑期集训营,1,1787,1787,2025-11-03,北京,银行卡,已开课
STU10249,詹波,亲子游泳,亲子技能提升班,31,157,4867,2026-01-25,北京,银行卡,已结课
STU10250,史玉,集训课程,寒假集训营,1,2867,2867,2025-11-18,广州,现金,已结课
STU10251,刘秀云,集训课程,国庆集训班,3,1740,5220,2025-11-15,南京,分期,已开课
STU10252,李兵,成人游泳,成人减脂游泳班,19,196,3724,2026-02-03,南京,现金,已结课
STU10253,徐洋,亲子游泳,亲子互动班,25,232,5800,2025-09-21,西安,现金,已结课
STU10254,王岩,私教课程,一对一私教课,46,108,4968,2026-01-08,深圳,分期,已结课
STU10255,刘想,成人游泳,成人水中健身课,43,193,8299,2025-10-23,重庆,现金,已报名
STU10256,司兵,考级课程,三级考级集训班,13,196,2548,2025-12-16,武汉,分期,已报名
STU10257,葛磊,亲子游泳,亲子技能提升班,11,181,1991,2025-09-01,深圳,分期,已报名
STU10258,郑玉,亲子游泳,亲子技能提升班,14,218,3052,2025-09-18,武汉,微信支付,已开课
STU10259,冷帆,成人游泳,成人自由泳速成班,36,175,6300,2025-12-07,武汉,现金,已开课
STU10260,龙俊,集训课程,寒假集训营,3,3261,9783,2025-10-16,西安,现金,已结课
STU10261,宋超,集训课程,寒假集训营,1,3048,3048,2025-12-28,西安,现金,已结课
STU10262,胡建平,成人游泳,成人自由泳速成班,39,168,6552,2025-10-19,上海,微信支付,已结课
STU10263,余博,亲子游泳,亲子启蒙班,25,132,3300,2025-09-09,武汉,分期,已结课
STU10264,郑旭,少儿游泳,少儿自由泳提高班,12,182,2184,2026-01-17,深圳,微信支付,已报名
STU10265,朱林,私教课程,一对二私教课,46,161,7406,2026-02-20,南京,支付宝,已开课
STU10266,吴璐,成人游泳,成人自由泳速成班,36,156,5616,2026-01-21,重庆,支付宝,已结课
STU10267,吴欣,亲子游泳,亲子水上游戏课,13,168,2184,2026-02-19,成都,分期,已开课
STU10268,陈燕,亲子游泳,亲子水上游戏课,19,156,2964,2026-01-16,武汉,支付宝,已结课
STU10269,姚红霞,私教课程,一对二私教课,39,94,3666,2025-12-16,西安,分期,已报名
STU10270,陈畅,成人游泳,成人水中健身课,23,164,3772,2025-12-25,南京,微信支付,已结课
STU10271,林辉,成人游泳,成人蛙泳入门班,27,176,4752,2026-02-02,北京,微信支付,已开课
STU10272,江芳,考级课程,一级考级冲刺班,40,133,5320,2025-11-25,杭州,微信支付,已开课
STU10273,张倩,成人游泳,成人蛙泳入门班,40,142,5680,2026-02-28,深圳,现金,已退费
